"","Distance","ratioNSP2","ratioOther","Protein"
"1",0.14947,0.81778,0.96725,"VP6"
"2",0.17988,0.67013,0.85001,"VP6"
"3",0.13718,0.61807,0.75525,"VP6"
"4",0.06434,0.59452,0.65886,"VP6"
"5",0.087854,0.58932,0.67717,"VP6"
"6",0.15122,0.553,0.70422,"VP6"
"7",0.12878,0.52946,0.65824,"VP6"
"8",0.0090204,0.52181,0.53083,"VP6"
"9",0.061493,0.51107,0.57256,"VP6"
"10",0.074613,0.50367,0.57828,"VP6"
"11",0.076989,0.4938,0.57079,"VP6"
"12",0.13056,0.49284,0.6234,"VP6"
"13",0.10304,0.49231,0.59535,"VP6"
"14",0.061524,0.49202,0.55355,"VP6"
"15",0.048934,0.49155,0.54049,"VP6"
"16",0.016451,0.48686,0.50331,"VP6"
"17",0.07253,0.48023,0.55276,"VP6"
"18",0.14051,0.47296,0.61348,"VP6"
"19",0.075901,0.47283,0.54873,"VP6"
"20",0.046401,0.4495,0.4959,"VP6"
"21",0.068277,0.44751,0.51579,"VP6"
"22",0.17401,0.44498,0.61899,"VP6"
"23",0.0644,0.44224,0.50664,"VP6"
"24",0.028893,0.4332,0.46209,"VP6"
"25",0.056227,0.43046,0.48669,"VP6"
"26",0.10028,0.42364,0.52392,"VP6"
"27",0.045145,0.41777,0.46292,"VP6"
"28",0.10475,0.41465,0.5194,"VP6"
"29",0.060741,0.41459,0.47533,"VP6"
"30",0.080879,0.40575,0.48663,"VP6"
"31",0.099907,0.39682,0.49673,"VP6"
"32",0.052244,0.39446,0.44671,"VP6"
"33",0.062015,0.39179,0.45381,"VP6"
"34",0.04406,0.3858,0.42986,"VP6"
"35",0.14595,0.38569,0.53164,"VP6"
"36",0.050351,0.38545,0.4358,"VP6"
"37",0.062863,0.38311,0.44597,"VP6"
"38",0.10616,0.37943,0.4856,"VP6"
"39",0.052706,0.37316,0.42587,"VP6"
"40",0.08625,0.36668,0.45293,"VP6"
"41",0.063299,0.36635,0.42965,"VP6"
"42",0.020248,0.362,0.38225,"VP6"
"43",0.066554,0.35752,0.42408,"VP6"
"44",0.017599,0.35303,0.37063,"VP6"
"45",0.19256,0.34968,0.54225,"VP6"
"46",0.032026,0.34148,0.37351,"VP6"
"47",0.07269,0.33606,0.40875,"VP6"
"48",0.043897,0.33349,0.37738,"VP6"
"49",0.090549,0.33155,0.4221,"VP6"
"50",0.077167,0.32098,0.39815,"VP6"
"51",0.039898,0.3177,0.3576,"VP6"
"52",0.055097,0.31166,0.36675,"VP6"
"53",0.10655,0.3103,0.41685,"VP6"
"54",0.038689,0.30966,0.34835,"VP6"
"55",0.031424,0.30917,0.34059,"VP6"
"56",0.028659,0.30436,0.33302,"VP6"
"57",0.12753,0.30126,0.42878,"VP6"
"58",0.049423,0.29887,0.34829,"VP6"
"59",0.037512,0.29605,0.33356,"VP6"
"60",0.042278,0.29412,0.3364,"VP6"
"62",0.021092,0.45921,0.4803,"NSP4"
"63",-0.0054279,0.45367,0.44824,"NSP4"
"64",0.01031,0.45155,0.46186,"NSP4"
"65",0.06214,0.44793,0.51007,"NSP4"
"66",-0.004589,0.44612,0.44153,"NSP4"
"67",-0.019655,0.44584,0.42618,"NSP4"
"68",0.021747,0.44335,0.4651,"NSP4"
"69",0.00054258,0.43992,0.44046,"NSP4"
"70",-0.025484,0.43657,0.41109,"NSP4"
"71",0.0053445,0.43112,0.43646,"NSP4"
"72",-0.037681,0.42975,0.39207,"NSP4"
"73",0.078277,0.42796,0.50624,"NSP4"
"74",0.002691,0.42644,0.42913,"NSP4"
"75",-0.010219,0.42484,0.41462,"NSP4"
"76",0.0016136,0.42025,0.42186,"NSP4"
"77",-0.0084718,0.42004,0.41157,"NSP4"
"78",-0.029802,0.41631,0.38651,"NSP4"
"79",0.0049888,0.41297,0.41796,"NSP4"
"80",-0.0036996,0.40906,0.40536,"NSP4"
"81",-0.045481,0.40189,0.35641,"NSP4"
"82",-0.0092619,0.39946,0.3902,"NSP4"
"83",0.0019151,0.39554,0.39745,"NSP4"
"84",-0.018374,0.39485,0.37647,"NSP4"
"85",0.03791,0.39322,0.43113,"NSP4"
"86",-0.0041253,0.39156,0.38743,"NSP4"
"87",0.040727,0.38749,0.42821,"NSP4"
"88",-0.010633,0.3838,0.37316,"NSP4"
"89",0.0041963,0.38259,0.38678,"NSP4"
"90",0.0051892,0.378,0.38319,"NSP4"
"91",-0.021958,0.37652,0.35457,"NSP4"
"92",-0.0029241,0.36919,0.36627,"NSP4"
"93",-0.015384,0.36693,0.35155,"NSP4"
"94",0.029638,0.36214,0.39178,"NSP4"
"95",0.0044515,0.36128,0.36573,"NSP4"
"96",-0.0065936,0.35455,0.34795,"NSP4"
"97",0.010679,0.34593,0.3566,"NSP4"
"98",0.027784,0.3443,0.37208,"NSP4"
"99",0.024871,0.34331,0.36818,"NSP4"
"100",0.00029627,0.33851,0.33881,"NSP4"
"101",0.022722,0.30094,0.32366,"NSP4"
"311",-0.027633,0.47742,0.44979,"NSP5"
"321",0.014893,0.47567,0.49056,"NSP5"
"331",-0.09615,0.4735,0.37735,"NSP5"
"341",-0.027429,0.4704,0.44297,"NSP5"
"351",-0.13254,0.46663,0.33409,"NSP5"
"361",-0.071141,0.46625,0.39511,"NSP5"
"371",-0.038323,0.46098,0.42266,"NSP5"
"381",-0.0010074,0.45448,0.45347,"NSP5"
"391",-0.017545,0.44988,0.43234,"NSP5"
"401",-0.025652,0.43221,0.40656,"NSP5"
"411",-0.065986,0.43108,0.3651,"NSP5"
"421",-0.044248,0.4232,0.37895,"NSP5"
"431",0.0021655,0.42281,0.42497,"NSP5"
"441",-0.009058,0.42246,0.4134,"NSP5"
"451",-0.044798,0.419,0.3742,"NSP5"
"461",-0.026603,0.41727,0.39067,"NSP5"
"471",-0.021837,0.4167,0.39486,"NSP5"
"481",-0.023747,0.40334,0.37959,"NSP5"
"491",-0.011008,0.40072,0.38971,"NSP5"
"501",-0.037646,0.39727,0.35962,"NSP5"
"511",-0.013545,0.39559,0.38204,"NSP5"
"521",-0.054626,0.39074,0.33611,"NSP5"
"531",-0.035149,0.38632,0.35117,"NSP5"
"541",0.032357,0.38268,0.41503,"NSP5"
"551",0.00054029,0.38174,0.38228,"NSP5"
"561",-0.0012067,0.37673,0.37553,"NSP5"
"571",0.013547,0.37427,0.38782,"NSP5"
"581",-0.0029786,0.3635,0.36053,"NSP5"
"591",-0.027819,0.35476,0.32694,"NSP5"
