Distance,ratioNSP2,ratioOther
29.216,61.521,90.737
39.871,46.754,86.624
30.074,37.446,67.52
19.96,38.066,58.026
25.017,30.878,55.895
31.268,33.731,64.999
36.52,51.802,88.322
31.662,45.534,77.196
30.862,46.108,76.97
30.218,24.527,54.745
38.035,40.343,78.378
35.916,51.551,87.466
30.896,43.829,74.725
29.823,41.82,71.644
54.237,43.454,97.692
11.848,32.883,44.731
36.599,35.636,72.234
31.867,33.891,65.757
53.823,32.369,86.193
25.14,41.919,67.059
43.451,48.026,91.477
39.17,49.113,88.283
69.917,50.736,120.65
26.697,37.291,63.987
45.088,46.961,92.049
59.063,46.254,105.32
59.063,46.254,105.32
34.885,60.079,94.964
22.771,35.406,58.178
73.862,46.942,120.8
34.101,41.392,75.492
17.02,37.94,54.96
35.328,39.994,75.322
42.141,36.95,79.09
58.342,30.65,88.992
36.807,37.564,74.371
60.551,32.016,92.567
61.385,47.607,108.99
61.73,36.635,98.365
25.311,32.376,57.687
66.342,48.87,115.21
57.786,43.046,100.83
48.844,58.653,107.5
