Distance,ratioNSP2,ratioOther
0.49888,41.297,41.796
-0.29241,36.919,36.627
0.029627,33.851,33.881
-0.67221,54.513,53.841
1.0679,34.593,35.66
-1.5384,36.693,35.155
4.7564,65.183,69.94
7.8277,42.796,50.624
-7.0547,61.043,53.988
-0.94109,49.064,48.123
-5.9361,57.299,51.363
-1.4575,53.802,52.345
-4.8004,50.583,45.783
2.7784,34.43,37.208
-5.8986,84.361,78.462
0.93142,46.639,47.57
-4.936,53.98,49.044
-0.81049,67.385,66.574
1.4088,48.306,49.715
-0.65936,35.455,34.795
2.2722,30.094,32.366
0.19151,39.554,39.745
-2.1958,37.652,35.457
6.214,44.793,51.007
1.9816,54.09,56.072
-4.0756,61.434,57.358
-3.278,85.547,82.269
-2.8474,97.869,95.022
-0.4589,44.612,44.153
-0.74421,55.265,54.52
-1.2527,47.134,45.881
-0.21907,49.305,49.086
1.2321,53.732,54.965
-9.9431,59.768,49.825
-0.54279,45.367,44.824
-4.5481,40.189,35.641
-0.84718,42.004,41.157
-1.9655,44.584,42.618
-0.41253,39.156,38.743
-0.36996,40.906,40.536
4.0727,38.749,42.821
0.41963,38.259,38.678
2.9638,36.214,39.178
3.8093,49.724,53.533
2.1092,45.921,48.03
-1.8374,39.485,37.647
-4.1654,52.005,47.839
-2.9802,41.631,38.651
-2.5357,49.668,47.132
-9.2288,47.96,38.731
-3.0419,47.98,44.938
-0.69964,54.861,54.161
-1.8477,47.567,45.719
-4.2444,74.324,70.08
-2.6326,48.218,45.586
-0.92619,39.946,39.02
0.054258,43.992,44.046
0.53445,43.112,43.646
3.791,39.322,43.113
0.43767,58.427,58.864
2.1747,44.335,46.51
-1.0219,42.484,41.462
-1.2871,68.692,67.405
0.44515,36.128,36.573
-3.7681,42.975,39.207
-2.5484,43.657,41.109
-1.156,61.555,60.399
-1.3955,50.015,48.62
-1.8899,63.38,61.49
3.129,64.188,67.317
0.87492,58.326,59.2
2.4871,34.331,36.818
-3.6529,59.07,55.417
-2.2337,59.961,57.727
-5.6114,68.862,63.251
0.2691,42.644,42.913
-1.0633,38.38,37.316
0.51892,37.8,38.319
1.031,45.155,46.186
-4.8199,64.986,60.167
3.0583,63.564,66.622
1.4095,80.336,81.745
-0.74903,64.97,64.221
-2.1742,56.685,54.511
4.7641,72.906,77.67
-2.4613,69.377,66.915
9.5625,54.869,64.431
8.4649,52.718,61.183
3.8593,49.22,53.079
-0.65032,46.084,45.434
0.16136,42.025,42.186
2.6413,50.063,52.704
-4.978,56.774,51.796
0.071067,51.298,51.369
-7.0058,55.067,48.061
6.4543,55.502,61.956
4.8799,57.513,62.393
2.3487,47.343,49.691
4.3242,50.408,54.732
3.1927,53.365,56.558
1.313,52.575,53.888
