Distance,ratioNSP2,ratioOther
16.572,40.038,56.61
1.392,32.866,34.258
7.5848,36.347,43.932
-4.5994,45.837,41.238
-0.26994,55.501,55.231
0.46886,44.992,45.461
9.7708,41.771,51.541
-1.7941,31.726,29.932
-3.4157,47.223,43.807
4.2094,72.458,76.667
-4.3308,54.26,49.929
7.7347,48.277,56.012
0.4105,45.891,46.302
0.70065,30.084,30.784
3.0684,31.662,34.73
0.15961,49.856,50.015
3.5169,41.002,44.519
12.952,53.867,66.818
-1.0974,47.925,46.828
0.29929,39.012,39.312
25.348,52.643,77.991
1.4409,44.224,45.665
22.368,47.867,70.234
3.4711,48.747,52.218
2.2349,49.384,51.619
7.3166,54.06,61.377
2.5574,50.906,53.463
2.1327,50.483,52.616
8.6754,37.597,46.272
28.321,65.17,93.491
1.9195,58.181,60.101
1.5352,59.498,61.033
0.14723,42.106,42.253
7.047,45.395,52.442
2.7434,46.506,49.249
2.7364,35.755,38.492
6.8157,34.909,41.725
-0.5798,46.637,46.057
6.6209,67.564,74.185
-0.062279,60.478,60.416
2.6377,48.555,51.192
1.6219,85.532,87.154
5.642,48.262,53.904
7.2442,37.503,44.747
-1.9699,43.774,41.804
18.091,29.461,47.553
0.51917,41.709,42.228
3.7643,62.016,65.78
-2.9659,45.925,42.959
6.6046,36.008,42.612
35.192,42.899,78.091
3.7852,50.141,53.926
9.7506,55.864,65.615
-0.02528,43.608,43.583
6.1578,52.105,58.263
1.2157,41.109,42.325
5.6336,45.417,51.05
17.837,46.506,64.343
-4.3431,45.867,41.524
4.076,56.23,60.306
